trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-150.0829917684196,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",30,0,-85.85180048141623,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9047516632199635}",25,0,-109.80493297420986,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",35,0,-185.23940988547776,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255253}",30,0,-103.17247001098008,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.8915682881953289}",20,9,-14.160087706279803,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,17,-10.690192432733635,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.8823328586101216}",25,0,-103.57830890548638,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-110.07661714746956,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",30,0,-67.77442196976305,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-19.36866497682244,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",25,13,-77.90906685537489,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,0,-135.43089370856623,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,10,-52.50636445748872,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-126.9775603729222,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",20,0,-81.21782782749116,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,14,-13.778699164077388,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.8309406791001634}",25,8,-51.41309213832154,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,2,-65.10048711393564,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",20,0,-142.47776515438954,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,0,-75.38348953302715,"{0: 16, 1: 7, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-2.4390642517324475,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",25,0,-118.89978819794074,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,2,-30.674122807506148,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,0,-87.51178700005151,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",25,0,-113.80157736161642,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",35,19,-28.17451404515824,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-61.74422308229655,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
